"id"	"eid"	"sex"
1261210	1261210	0
1261396	1261396	0
1261687	1261687	0
1261732	1261732	0
1261897	1261897	1
1262103	1262103	1
1262271	1262271	1
1262478	1262478	1
1262785	1262785	0
1262873	1262873	1
1262991	1262991	0
1263097	1263097	1
1263209	1263209	0
1263263	1263263	1
1263594	1263594	1
1263964	1263964	1
1263996	1263996	1
1264257	1264257	0
1264476	1264476	1
1264952	1264952	1
1265452	1265452	1
1265730	1265730	0
1265782	1265782	0
1265815	1265815	1
1266354	1266354	1
1266380	1266380	0
1266643	1266643	1
1266987	1266987	1
1267316	1267316	0
1267494	1267494	1
1267584	1267584	0
1267872	1267872	1
1268148	1268148	0
1268230	1268230	0
1268324	1268324	1
1268401	1268401	1
1268428	1268428	1
1268786	1268786	1
1268978	1268978	0
1269118	1269118	1
1269663	1269663	0
1270002	1270002	0
1270536	1270536	1
1270795	1270795	1
1271021	1271021	0
1271190	1271190	0
1271630	1271630	0
1271847	1271847	0
1272258	1272258	1
1272302	1272302	1
1272791	1272791	1
1273220	1273220	0
1273554	1273554	1
1273591	1273591	1
1273686	1273686	1
1273864	1273864	0
1274032	1274032	1
1274860	1274860	0
1275078	1275078	1
1275081	1275081	1
1275701	1275701	1
1275744	1275744	0
1275902	1275902	0
1275953	1275953	1
1276056	1276056	0
1276118	1276118	0
1276385	1276385	1
1277085	1277085	0
1277432	1277432	1
1277750	1277750	0
1277841	1277841	1
1277859	1277859	0
1277898	1277898	0
1278099	1278099	1
1278404	1278404	1
1278564	1278564	1
1278613	1278613	1
1278738	1278738	0
1278817	1278817	0
1279098	1279098	1
1279436	1279436	1
1279620	1279620	1
1280730	1280730	1
1281059	1281059	1
1281637	1281637	1
1281753	1281753	0
1282026	1282026	1
1282159	1282159	0
1282421	1282421	1
1282568	1282568	1
1282939	1282939	1
1283616	1283616	1
1283785	1283785	1
1283948	1283948	0
1285112	1285112	1
1285430	1285430	1
1286834	1286834	1
1286878	1286878	0
1286906	1286906	0
1287027	1287027	0
1287894	1287894	1
1288054	1288054	1
1288518	1288518	0
1288797	1288797	1
1288908	1288908	1
1288933	1288933	0
1289924	1289924	1
1290008	1290008	1
1290095	1290095	0
1290322	1290322	0
1290434	1290434	0
1290805	1290805	1
1290847	1290847	1
1291012	1291012	1
1291094	1291094	0
1291208	1291208	1
1291463	1291463	1
1291639	1291639	0
1291766	1291766	0
1292058	1292058	0
1292137	1292137	1
1292143	1292143	0
1292416	1292416	0
1292465	1292465	1
1292482	1292482	1
1292515	1292515	0
1293023	1293023	0
1293218	1293218	0
1293229	1293229	1
1293247	1293247	1
1293422	1293422	0
1293620	1293620	1
1293694	1293694	1
1294516	1294516	1
1294559	1294559	1
1294834	1294834	0
1295063	1295063	1
1295211	1295211	1
1295505	1295505	0
1295700	1295700	1
1296915	1296915	0
1296964	1296964	0
1297031	1297031	0
1297591	1297591	0
1298281	1298281	0
1299040	1299040	1
1299265	1299265	1
1299419	1299419	0
1299507	1299507	1
1299536	1299536	1
1299583	1299583	1
1300287	1300287	0
1300357	1300357	1
1300386	1300386	0
1300790	1300790	1
1301108	1301108	0
1301523	1301523	0
1301994	1301994	0
1303055	1303055	1
1303248	1303248	1
1303414	1303414	1
1303611	1303611	0
1303940	1303940	1
1304037	1304037	1
1304085	1304085	1
1304136	1304136	0
1304841	1304841	1
1305633	1305633	1
1305840	1305840	1
1306410	1306410	0
1306511	1306511	0
1307699	1307699	1
1307828	1307828	1
1307986	1307986	1
1308027	1308027	0
1308401	1308401	0
1308507	1308507	1
1308714	1308714	1
